Full_NM,EMD_NM,SGG_NM
홍천군 홍천읍,홍천읍,홍천군
횡성군 횡성읍,횡성읍,횡성군
영월군 영월읍,영월읍,영월군
원주시 지정면,지정면,원주시
태백시 황지동,황지동,태백시
춘천시 동내면,동내면,춘천시
정선군 정선읍,정선읍,정선군
인제군 북면,북면,인제군
양구군 양구읍,양구읍,양구군
춘천시 남산면,남산면,춘천시
원주시 문막읍,문막읍,원주시
고성군 거진읍,거진읍,고성군
철원군 갈말읍,갈말읍,철원군
춘천시 동면,동면,춘천시
강릉시 주문진읍,주문진읍,강릉시
원주시 단구동,단구동,원주시
고성군 토성면,토성면,고성군
인제군 인제읍,인제읍,인제군
춘천시 서면,서면,춘천시
철원군 동송읍,동송읍,철원군
춘천시 석사동,석사동,춘천시
강릉시 옥계면,옥계면,강릉시
동해시 발한동,발한동,동해시
춘천시 퇴계동,퇴계동,춘천시
원주시 무실동,무실동,원주시
양양군 양양읍,양양읍,양양군
삼척시 도계읍,도계읍,삼척시
춘천시 신북읍,신북읍,춘천시
양양군 강현면,강현면,양양군
평창군 진부면,진부면,평창군
동해시 천곡동,천곡동,동해시
고성군 간성읍,간성읍,고성군
평창군 평창읍,평창읍,평창군
정선군 신동읍,신동읍,정선군
고성군 죽왕면,죽왕면,고성군
속초시 대포동,대포동,속초시
횡성군 우천면,우천면,횡성군
인제군 서화면,서화면,인제군
정선군 고한읍,고한읍,정선군
강릉시 강동면,강동면,강릉시
횡성군 둔내면,둔내면,횡성군
원주시 단계동,단계동,원주시
화천군 화천읍,화천읍,화천군
평창군 봉평면,봉평면,평창군
속초시 교동,교동,속초시
고성군 현내면,현내면,고성군
속초시 조양동,조양동,속초시
강릉시 성산면,성산면,강릉시
인제군 기린면,기린면,인제군
인제군 남면,남면,인제군
강릉시 구정면,구정면,강릉시
홍천군 남면,남면,홍천군
평창군 대관령면,대관령면,평창군
춘천시 신동면,신동면,춘천시
춘천시 남면,남면,춘천시
태백시 장성동,장성동,태백시
강릉시 사천면,사천면,강릉시
평창군 대화면,대화면,평창군
삼척시 원덕읍,원덕읍,삼척시
횡성군 안흥면,안흥면,횡성군
속초시 노학동,노학동,속초시
양양군 현남면,현남면,양양군
춘천시 근화동,근화동,춘천시
춘천시 동산면,동산면,춘천시
정선군 북평면,북평면,정선군
영월군 주천면,주천면,영월군
원주시 학성동,학성동,원주시
홍천군 서석면,서석면,홍천군
철원군 서면,서면,철원군
횡성군 공근면,공근면,횡성군
동해시 송정동,송정동,동해시
홍천군 북방면,북방면,홍천군
원주시 봉산동,봉산동,원주시
강릉시 연곡면,연곡면,강릉시
양양군 손양면,손양면,양양군
삼척시 근덕면,근덕면,삼척시
원주시 신림면,신림면,원주시
정선군 사북읍,사북읍,정선군
원주시 소초면,소초면,원주시
원주시 개운동,개운동,원주시
강릉시 홍제동,홍제동,강릉시
양양군 현북면,현북면,양양군
정선군 여량면,여량면,정선군
원주시 우산동,우산동,원주시
원주시 일산동,일산동,원주시
원주시 중앙동,중앙동,원주시
원주시 행구동,행구동,원주시
철원군 철원읍,철원읍,철원군
영월군 한반도면,한반도면,영월군
춘천시 교동,교동,춘천시
영월군 상동읍,상동읍,영월군
양양군 서면,서면,양양군
동해시 부곡동,부곡동,동해시
정선군 남면,남면,정선군
삼척시 남양동,남양동,삼척시
춘천시 사북면,사북면,춘천시
평창군 방림면,방림면,평창군
인제군 상남면,상남면,인제군
화천군 상서면,상서면,화천군
철원군 김화읍,김화읍,철원군
정선군 임계면,임계면,정선군
태백시 철암동,철암동,태백시
평창군 미탄면,미탄면,평창군
원주시 흥업면,흥업면,원주시
원주시 호저면,호저면,원주시
삼척시 교동,교동,삼척시
횡성군 서원면,서원면,횡성군
홍천군 서면,서면,홍천군
화천군 사내면,사내면,화천군
속초시 동명동,동명동,속초시
횡성군 갑천면,갑천면,횡성군
양구군 해안면,해안면,양구군
평창군 용평면,용평면,평창군
강릉시 옥천동,옥천동,강릉시
홍천군 화촌면,화촌면,홍천군
홍천군 두촌면,두촌면,홍천군
속초시 영랑동,영랑동,속초시
원주시 판부면,판부면,원주시
홍천군 내면,내면,홍천군
동해시 망상동,망상동,동해시
횡성군 강림면,강림면,횡성군
영월군 북면,북면,영월군
양구군 동면,동면,양구군
영월군 남면,남면,영월군
속초시 금호동,금호동,속초시
양구군 방산면,방산면,양구군
삼척시 미로면,미로면,삼척시
원주시 부론면,부론면,원주시
정선군 화암면,화암면,정선군
원주시 귀래면,귀래면,원주시
영월군 김삿갓면,김삿갓면,영월군
화천군 하남면,하남면,화천군
속초시 청호동,청호동,속초시
동해시 삼화동,삼화동,동해시
강릉시 내곡동,내곡동,강릉시
화천군 간동면,간동면,화천군
강릉시 초당동,초당동,강릉시
춘천시 북산면,북산면,춘천시
강릉시 왕산면,왕산면,강릉시
철원군 근남면,근남면,철원군
홍천군 내촌면,내촌면,홍천군
삼척시 노곡면,노곡면,삼척시
삼척시 하장면,하장면,삼척시
