,Full_NM,EMD_NM,SGG_NM,Final Score
0,홍천군 홍천읍,홍천읍,홍천군,4.591009040172281
1,횡성군 횡성읍,횡성읍,횡성군,3.784170026139609
2,영월군 영월읍,영월읍,영월군,4.753873263799777
3,원주시 지정면,지정면,원주시,4.043253365443325
4,태백시 황지동,황지동,태백시,4.073737630466731
5,춘천시 동내면,동내면,춘천시,4.74413155019873
6,정선군 정선읍,정선읍,정선군,5.129996308852823
7,인제군 북면,북면,인제군,4.7209144572119595
8,양구군 양구읍,양구읍,양구군,4.607112451959164
9,춘천시 남산면,남산면,춘천시,5.260181370047244
10,원주시 문막읍,문막읍,원주시,4.153784581138676
11,고성군 거진읍,거진읍,고성군,4.597103130758709
12,철원군 갈말읍,갈말읍,철원군,4.658468690621114
13,춘천시 동면,동면,춘천시,4.554651469782383
14,강릉시 주문진읍,주문진읍,강릉시,4.534160308743054
15,원주시 단구동,단구동,원주시,3.7761012080881753
16,고성군 토성면,토성면,고성군,4.16269986770228
17,인제군 인제읍,인제읍,인제군,4.851943144919488
18,춘천시 서면,서면,춘천시,5.873331807617195
19,철원군 동송읍,동송읍,철원군,4.138792443033991
20,춘천시 석사동,석사동,춘천시,4.183962105769541
21,강릉시 옥계면,옥계면,강릉시,4.176809649444089
22,동해시 발한동,발한동,동해시,4.3198721702807745
23,춘천시 퇴계동,퇴계동,춘천시,3.778489416779398
24,원주시 무실동,무실동,원주시,3.6557074957921327
25,양양군 양양읍,양양읍,양양군,3.2410206864897066
26,삼척시 도계읍,도계읍,삼척시,4.50953943349969
27,춘천시 신북읍,신북읍,춘천시,4.907489494303913
28,양양군 강현면,강현면,양양군,4.034590845523101
29,평창군 진부면,진부면,평창군,3.911591114773514
30,동해시 천곡동,천곡동,동해시,3.5589311890491837
31,고성군 간성읍,간성읍,고성군,3.9953094053033933
32,평창군 평창읍,평창읍,평창군,5.014130408331463
33,정선군 신동읍,신동읍,정선군,4.418383581714054
34,고성군 죽왕면,죽왕면,고성군,4.491434729992584
35,속초시 대포동,대포동,속초시,4.790633670442308
36,횡성군 우천면,우천면,횡성군,3.498758445830477
37,인제군 서화면,서화면,인제군,5.177584764866863
38,정선군 고한읍,고한읍,정선군,4.088333168444185
39,강릉시 강동면,강동면,강릉시,3.78623772296115
40,횡성군 둔내면,둔내면,횡성군,2.741306449075704
41,원주시 단계동,단계동,원주시,3.7788337526484517
42,화천군 화천읍,화천읍,화천군,4.963639438610565
43,평창군 봉평면,봉평면,평창군,4.152285459374347
44,속초시 교동,교동,속초시,4.572946531365026
45,고성군 현내면,현내면,고성군,4.1650857948610795
46,속초시 조양동,조양동,속초시,3.961652343002946
47,강릉시 성산면,성산면,강릉시,4.217270610698349
48,인제군 기린면,기린면,인제군,4.148819117666075
49,인제군 남면,남면,인제군,4.769134185494
50,강릉시 구정면,구정면,강릉시,4.096002218445182
51,홍천군 남면,남면,홍천군,3.915751508460814
52,평창군 대관령면,대관령면,평창군,3.5729534666294738
53,춘천시 신동면,신동면,춘천시,4.943830121302643
54,춘천시 남면,남면,춘천시,5.733213754650229
55,태백시 장성동,장성동,태백시,4.270482707891187
56,강릉시 사천면,사천면,강릉시,3.896244243816704
57,평창군 대화면,대화면,평창군,4.553141327913523
58,삼척시 원덕읍,원덕읍,삼척시,3.6586924824163214
59,횡성군 안흥면,안흥면,횡성군,3.2492307670202347
60,속초시 노학동,노학동,속초시,4.283142468469694
61,양양군 현남면,현남면,양양군,3.4636928851287268
62,춘천시 근화동,근화동,춘천시,5.06062199507544
63,춘천시 동산면,동산면,춘천시,3.829636650091998
64,정선군 북평면,북평면,정선군,5.300306324397914
65,영월군 주천면,주천면,영월군,2.917247344727628
66,원주시 학성동,학성동,원주시,5.257592730716115
67,홍천군 서석면,서석면,홍천군,3.9567658725344996
68,철원군 서면,서면,철원군,4.060037127991466
69,횡성군 공근면,공근면,횡성군,3.344443833899633
70,동해시 송정동,송정동,동해시,4.935947141522892
71,홍천군 북방면,북방면,홍천군,4.214015575873812
72,원주시 봉산동,봉산동,원주시,4.874399136132498
