Full_NM,용수시설개수,화재발생횟수,time,TIME_UNIT_WS,TIME_UNIT_WD,SPT_FRSTT_DIST,배관깊이,출수압력,배관지름,EMD_NM,SGG_NM,총인구수 (명)
홍천군 홍천읍,183,63,5.0,1.4444444444444444,152.85714285714286,4.380952380952381,0.9972677595628415,4.621311475409836,100.0,홍천읍,홍천군,33754
횡성군 횡성읍,141,62,5.0,2.2903225806451615,180.6451612903226,4.8,1.0070921985815602,5.184397163120567,65.0,횡성읍,횡성군,20976
영월군 영월읍,137,54,5.0,1.3333333333333333,143.5185185185185,4.0,0.9367153284671533,4.670802919708029,100.0,영월읍,영월군,20883
원주시 지정면,127,60,10.0,1.5833333333333333,177.33333333333334,21.612903225806452,0.6755905511811023,5.541732283464566,100.0,지정면,원주시,29115
태백시 황지동,112,49,4.0,1.3877551020408163,115.71428571428571,2.2195121951219514,0.7161607142857143,4.6499999999999995,65.0,황지동,태백시,5970
춘천시 동내면,109,40,5.0,1.35,156.25,8.125,0.7541284403669725,4.318348623853211,100.0,동내면,춘천시,17087
정선군 정선읍,107,29,6.0,2.103448275862069,136.55172413793105,7.461538461538462,0.8721495327102803,4.214953271028038,100.0,정선읍,정선군,10319
인제군 북면,102,34,6.0,2.264705882352941,177.05882352941177,16.181818181818183,1.5,4.1303921568627455,97.6470588235294,북면,인제군,8014
양구군 양구읍,93,38,5.0,1.9736842105263157,152.3684210526316,4.208333333333333,0.8467741935483871,3.6731182795698927,100.0,양구읍,양구군,13802
춘천시 남산면,93,30,6.0,1.8333333333333333,233.66666666666666,23.866666666666667,0.8301075268817205,5.869892473118279,100.0,남산면,춘천시,3427
원주시 문막읍,87,63,5.0,1.4126984126984128,176.34920634920636,24.477272727272727,0.4724137931034483,4.841379310344827,100.0,문막읍,원주시,18023
고성군 거진읍,87,33,6.0,1.0,177.87878787878788,9.266666666666667,1.0,3.3195402298850576,100.0,거진읍,고성군,5961
철원군 갈말읍,85,37,6.0,1.4324324324324325,180.27027027027026,5.636363636363637,1.2,4.261176470588235,100.0,갈말읍,철원군,11825
춘천시 동면,84,44,6.0,1.8636363636363635,228.86363636363637,6.258064516129032,0.9285714285714286,5.019047619047619,100.0,동면,춘천시,19415
강릉시 주문진읍,84,47,5.0,2.0,187.0212765957447,18.074074074074073,1.0309523809523808,5.283333333333333,100.0,주문진읍,강릉시,16665
원주시 단구동,82,46,4.0,1.0217391304347827,151.08695652173913,3.1666666666666665,0.9292682926829269,3.498780487804878,100.0,단구동,원주시,44390
고성군 토성면,78,43,7.0,1.9069767441860466,220.46511627906978,18.615384615384617,1.0,3.757692307692308,100.0,토성면,고성군,8558
인제군 인제읍,77,24,5.5,2.2083333333333335,188.33333333333334,9.076923076923077,1.1142857142857143,3.742857142857143,100.0,인제읍,인제군,10319
춘천시 서면,76,15,9.0,1.7333333333333334,259.3333333333333,14.066666666666666,0.8539473684210527,5.906578947368421,100.0,서면,춘천시,3720
철원군 동송읍,74,47,6.0,1.7446808510638299,190.2127659574468,11.1875,1.2,3.782432432432432,100.0,동송읍,철원군,14773
춘천시 석사동,74,30,6.0,1.9,222.0,3.933333333333333,0.8216216216216216,3.9324324324324325,100.0,석사동,춘천시,34267
강릉시 옥계면,73,41,6.0,1.7804878048780488,192.9268292682927,32.0,1.0438356164383562,3.9383561643835616,100.0,옥계면,강릉시,3449
동해시 발한동,71,36,4.0,2.388888888888889,198.33333333333334,7.3,4.866197183098592,4.949295774647887,75.35211267605634,발한동,동해시,3311
춘천시 퇴계동,68,32,6.0,1.53125,164.0625,5.857142857142857,0.9691176470588236,4.0661764705882355,100.0,퇴계동,춘천시,48247
원주시 무실동,68,44,6.0,1.2954545454545454,152.27272727272728,6.75,0.8161764705882353,3.336764705882353,100.0,무실동,원주시,34867
양양군 양양읍,68,39,6.0,2.5128205128205128,150.25641025641025,4.041666666666667,1.286764705882353,3.375,65.0,양양읍,양양군,12693
삼척시 도계읍,63,30,8.5,1.9666666666666666,162.0,29.352941176470587,1.5,5.8349206349206355,100.0,도계읍,삼척시,9910
춘천시 신북읍,60,32,6.0,1.6875,186.25,7.333333333333333,1.0783333333333334,5.515,100.0,신북읍,춘천시,7503
양양군 강현면,60,35,5.0,1.8857142857142857,224.57142857142858,12.25,1.2283333333333333,3.7616666666666663,85.41666666666667,강현면,양양군,4587
평창군 진부면,58,20,6.0,3.35,155.5,44.55555555555556,1.1605172413793103,3.9465517241379313,87.5,진부면,평창군,8554
동해시 천곡동,57,47,5.0,2.148936170212766,189.14893617021278,4.851851851851852,0.5324561403508772,4.512280701754386,83.24561403508773,천곡동,동해시,30675
고성군 간성읍,55,42,8.0,1.0952380952380953,191.42857142857142,6.851851851851852,1.0,3.265454545454545,100.0,간성읍,고성군,7110
평창군 평창읍,55,14,11.0,2.857142857142857,187.14285714285714,5.473684210526316,1.4945454545454546,4.696363636363636,98.72727272727273,평창읍,평창군,8451
정선군 신동읍,54,16,12.0,3.25,154.375,33.266666666666666,1.1759259259259258,4.3388888888888895,100.0,신동읍,정선군,1779
고성군 죽왕면,53,32,7.0,1.0625,203.125,7.470588235294118,1.0,4.1716981132075475,100.0,죽왕면,고성군,3456
속초시 대포동,51,18,9.0,2.0,179.44444444444446,6.9,1.0,4.252941176470588,100.0,대포동,속초시,3125
횡성군 우천면,51,31,9.0,1.5483870967741935,124.51612903225806,14.38888888888889,1.0470588235294118,5.2333333333333325,65.0,우천면,횡성군,4444
인제군 서화면,49,10,3.5,2.0,212.0,22.6,1.5,3.7693877551020405,87.14285714285714,서화면,인제군,2545
정선군 고한읍,47,13,5.0,1.3846153846153846,177.69230769230768,39.6,1.0787234042553193,5.240425531914894,65.0,고한읍,정선군,4363
강릉시 강동면,47,43,13.0,2.046511627906977,155.11627906976744,16.31578947368421,1.001063829787234,4.417021276595745,100.0,강동면,강릉시,4144
횡성군 둔내면,46,40,8.0,2.825,154.25,30.318181818181817,0.7152173913043478,3.747826086956522,65.0,둔내면,횡성군,5865
원주시 단계동,45,41,5.0,1.170731707317073,174.390243902439,6.083333333333333,1.0555555555555556,3.588888888888889,100.0,단계동,원주시,28699
화천군 화천읍,44,15,4.0,1.7333333333333334,202.66666666666666,3.75,0.8295454545454546,3.652272727272727,100.0,화천읍,화천군,8269
평창군 봉평면,44,20,9.0,3.6,205.0,34.72,1.4897727272727272,4.452272727272727,100.0,봉평면,평창군,5764
속초시 교동,44,29,4.0,2.4482758620689653,202.41379310344828,1.9,1.018181818181818,4.015909090909091,100.0,교동,속초시,9520
고성군 현내면,42,25,8.0,1.0,180.0,18.6,1.0,3.711904761904762,100.0,현내면,고성군,2297
속초시 조양동,42,28,6.0,1.6428571428571428,164.28571428571428,3.9583333333333335,1.0,3.9547619047619045,100.0,조양동,속초시,29276
강릉시 성산면,41,32,8.5,1.625,202.1875,10.153846153846153,1.0365853658536586,4.180487804878049,100.0,성산면,강릉시,3456
인제군 기린면,41,16,7.5,1.25,108.125,33.75,1.4926829268292683,3.5707317073170732,98.78048780487805,기린면,인제군,4996
인제군 남면,41,10,8.5,1.6,111.0,17.555555555555557,1.0146341463414634,3.71219512195122,93.78048780487805,남면,인제군,3789
강릉시 구정면,40,42,8.0,1.6904761904761905,163.8095238095238,9.7,1.0775000000000001,4.055,100.0,구정면,강릉시,4295
홍천군 남면,40,40,6.0,1.575,173.75,20.53846153846154,0.8699999999999999,3.5275,100.0,남면,홍천군,6131
평창군 대관령면,40,22,7.0,3.1363636363636362,215.0,59.05263157894737,2.075,3.6700000000000004,99.375,대관령면,평창군,5900
춘천시 신동면,40,22,7.5,1.4545454545454546,176.36363636363637,11.95,0.805,6.0075,100.0,신동면,춘천시,2604
춘천시 남면,39,8,10.0,2.5,91.25,30.666666666666668,0.905128205128205,6.633333333333333,100.0,남면,춘천시,1081
태백시 장성동,39,19,4.0,1.105263157894737,124.73684210526316,8.8,0.8823076923076923,4.5,77.56410256410257,장성동,태백시,3307
강릉시 사천면,35,33,10.0,3.0606060606060606,167.27272727272728,13.3125,1.18,3.934285714285714,100.0,사천면,강릉시,4691
평창군 대화면,35,10,11.0,3.4,201.0,18.625,1.3514285714285714,4.005714285714285,98.57142857142857,대화면,평창군,5154
삼척시 원덕읍,34,32,7.0,1.5806451612903225,140.32258064516128,37.285714285714285,1.5,3.523529411764706,99.41176470588235,원덕읍,삼척시,3194
횡성군 안흥면,34,19,10.0,2.4210526315789473,163.1578947368421,25.2,1.0,4.882352941176471,65.0,안흥면,횡성군,3190
속초시 노학동,34,18,6.5,2.5,231.66666666666666,5.076923076923077,1.0,4.273529411764706,100.0,노학동,속초시,21838
