,Full_NM,EMD_NM,Y,X
1433,횡성군 둔내면,둔내면,37.5192033,128.2011992
1434,횡성군 둔내면,둔내면,37.51291356,128.2143266
1435,횡성군 둔내면,둔내면,37.51472536,128.2165816
1436,횡성군 둔내면,둔내면,37.51342678,128.2179229
1437,횡성군 둔내면,둔내면,37.512626,128.2162037
1438,횡성군 둔내면,둔내면,37.5128911,128.214123
1439,횡성군 둔내면,둔내면,37.5115575,128.2189957
1440,횡성군 둔내면,둔내면,37.51240862,128.2185775
1441,횡성군 둔내면,둔내면,37.5123362,128.2170263
1442,횡성군 둔내면,둔내면,37.51122192,128.2181373
1443,횡성군 둔내면,둔내면,37.5146021,128.209703
1444,횡성군 둔내면,둔내면,37.5127142,128.2124341
1445,횡성군 둔내면,둔내면,37.5131177,128.2112504
1446,횡성군 둔내면,둔내면,37.5117709,128.2204986
1447,횡성군 둔내면,둔내면,37.49767665,128.2100641
1448,횡성군 둔내면,둔내면,37.4952672,128.2084312
1449,횡성군 둔내면,둔내면,37.5119174,128.2240918
1450,횡성군 둔내면,둔내면,37.5289432,128.2217495
1451,횡성군 둔내면,둔내면,37.51075229,128.2165826
1452,횡성군 둔내면,둔내면,37.47774764,128.1889058
1453,횡성군 둔내면,둔내면,37.4746991,128.1898968
1454,횡성군 둔내면,둔내면,37.4761379,128.2080786
1455,횡성군 둔내면,둔내면,37.47506352,128.2125029
1456,횡성군 둔내면,둔내면,37.4723297,128.2209829
1457,횡성군 둔내면,둔내면,37.5002053,128.1811526
1458,횡성군 둔내면,둔내면,37.4781694,128.1578863
1459,횡성군 둔내면,둔내면,37.48531364,128.1646183
1460,횡성군 둔내면,둔내면,37.49792209,128.1823319
1461,횡성군 둔내면,둔내면,37.50345782,128.1769293
1462,횡성군 둔내면,둔내면,37.4941722,128.1651355
1463,횡성군 둔내면,둔내면,37.5119891,128.1503677
1464,횡성군 둔내면,둔내면,37.5101548,128.1474116
1465,횡성군 둔내면,둔내면,37.51103331,128.2272458
1466,횡성군 둔내면,둔내면,37.50766715,128.2311952
1467,횡성군 둔내면,둔내면,37.5016516,128.2346528
1468,횡성군 둔내면,둔내면,37.4998971,128.2376107
1469,횡성군 둔내면,둔내면,37.49563682,128.2371106
1470,횡성군 둔내면,둔내면,37.49817999,128.2389798
1471,횡성군 둔내면,둔내면,37.49657886,128.2417646
1472,횡성군 둔내면,둔내면,37.5166357,128.211283
1473,횡성군 둔내면,둔내면,37.51831298,128.2091832
1474,횡성군 둔내면,둔내면,37.5185859,128.2090938
1475,횡성군 둔내면,둔내면,37.5200249,128.2107033
1476,횡성군 둔내면,둔내면,37.5196928,128.2098888
1477,횡성군 둔내면,둔내면,37.5113145,128.2237052
1478,횡성군 둔내면,둔내면,37.5013602,128.2406576
2438,영월군 주천면,주천면,37.27184099,128.2689279
2439,영월군 주천면,주천면,37.27480819,128.269768
2440,영월군 주천면,주천면,37.27270248,128.2708029
2441,영월군 주천면,주천면,37.27264765,128.2724769
2442,영월군 주천면,주천면,37.27255016,128.2750392
2443,영월군 주천면,주천면,37.26642825,128.2821972
2444,영월군 주천면,주천면,37.26436663,128.2875088
2445,영월군 주천면,주천면,37.27068393,128.2681731
2446,영월군 주천면,주천면,37.27240267,128.266681
2447,영월군 주천면,주천면,37.27355179,128.2650794
2448,영월군 주천면,주천면,37.27041996,128.2678354
2449,영월군 주천면,주천면,37.27009183,128.2690872
2450,영월군 주천면,주천면,37.26911235,128.2676091
2451,영월군 주천면,주천면,37.26917168,128.2687912
2452,영월군 주천면,주천면,37.27083368,128.266742
2453,영월군 주천면,주천면,37.27036163,128.266593
2454,영월군 주천면,주천면,37.27062789,128.2647876
2455,영월군 주천면,주천면,37.27246551,128.2636849
2456,영월군 주천면,주천면,37.26620722,128.2648218
2457,영월군 주천면,주천면,37.26505724,128.2604938
2458,영월군 주천면,주천면,37.26881221,128.2689482
2459,영월군 주천면,주천면,37.26890127,128.2663788
2460,영월군 주천면,주천면,37.1836785,128.4615857
2461,영월군 주천면,주천면,37.27130555,128.2666472
2462,영월군 주천면,주천면,37.27280589,128.2643186
2463,영월군 주천면,주천면,37.27212289,128.266641
2464,영월군 주천면,주천면,37.27002663,128.2699245
2465,영월군 주천면,주천면,37.24353723,128.2984441
2466,영월군 주천면,주천면,37.24930375,128.2902146
2467,영월군 주천면,주천면,37.22893373,128.2946423
2468,영월군 주천면,주천면,37.27983459,128.2767438
2469,영월군 주천면,주천면,37.26953958,128.265379
4384,강릉시 왕산면,왕산면,37.6701545,128.7966449
4389,강릉시 왕산면,왕산면,37.67292809,128.8359635
4390,강릉시 왕산면,왕산면,37.6680259,128.8373365
4391,강릉시 왕산면,왕산면,37.6545076,128.7878584
4392,강릉시 왕산면,왕산면,37.66302493,128.7938435
5743,정선군 남면,남면,37.23957721,128.7861553
5744,정선군 남면,남면,37.24090983,128.7773044
5745,정선군 남면,남면,37.24431705,128.7771841
5746,정선군 남면,남면,37.24541605,128.7754813
5747,정선군 남면,남면,37.2443234,128.7742531
5748,정선군 남면,남면,37.2461859,128.7746666
5749,정선군 남면,남면,37.2482969,128.7757238
