MSFRTN_RESC_REPRT_NO,ACDNT_CAUSE,PRCS_RESULT_SE_NM,DCLR_YMD,DCLR_TM,DCLR_YR,SEASON_SE_NM,QTR_SE,DCLR_MNTH,DCLR_DAY,DCLR_HOUR,DCLR_MIN,DAYWK,DSP_YMD,DSP_TM,DSP_YR,DSP_MNTH,DSP_DAY,DSP_HOUR,DSP_MIN,SPT_ARVL_YMD,SPT_ARVL_TM,SPT_ARVL_YR,SPT_ARVL_MNTH,SPT_ARVL_DAY,SPT_ARVL_HOUR,SPT_ARVL_MIN,RESC_CMPTN_YMD,RESC_CMPTN_TM,RESC_CMPTN_YR,RESC_CMPTN_MNTH,RESC_CMPTN_DAY,RESC_CMPTN_HOUR,RESC_CMPTN_MIN,HMG_YMD,HMG_TM,HMG_YR,HMG_MNTH,HMG_DAY,HMG_HOUR,HMG_MIN,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LOC_INFO_X,LOC_INFO_Y,SPT_FRSTT_DIST,ACDNT_PLACE_NM,ACDNT_PLACE_DETAIL_NM,ACDNT_CAUSE_ASORT_NM,TIME_UNIT_TMPRT,TIME_UNIT_WS,TIME_UNIT_WD,TIME_UNIT_HUMIDITY,FRSTT_NM,WARD_NM,LFDAU_NM
20204201103M00003,작동기기,안전조치,20200101,015418,2020,겨울,1,01,01,01,54,수요일,20200101,015501,2020,01,01,01,55,20200101,020020,2020,01,01,02,00,20200101,020452,2020,01,01,02,04,20200101,023911,2020,01,01,02,39,강원도,춘천시,효자동,동,127.7404,37.8633,0,공동주택,다세대주택,부주의,-8,360.0,2.0,51,춘천소방서,효자119안전센터,
20204202104M00003,미상,안전조치,20200101,091144,2020,겨울,1,01,01,09,11,수요일,20200101,091203,2020,01,01,09,12,20200101,091648,2020,01,01,09,16,20200101,092357,2020,01,01,09,23,20200101,102757,2020,01,01,10,27,강원도,원주시,봉산동,동,,,3,기타건축물,기타 건축물,미상,-6,45.0,2.0,75,원주소방서,단구119안전센터,
20204203108M00007,"불꽃, 불티",안전조치,20200101,125616,2020,겨울,1,01,01,12,56,수요일,20200101,125644,2020,01,01,12,56,20200101,130342,2020,01,01,13,03,20200101,133343,2020,01,01,13,33,20200101,142043,2020,01,01,14,20,강원도,강릉시,성산면,면,128.8408,37.7603,4,산불,사유림,부주의,6,225.0,18.0,34,강릉소방서,유천119안전센터,
20204203103M00007,"마찰, 전도, 복사",안전조치,20200101,145024,2020,겨울,1,01,01,14,50,수요일,20200101,145106,2020,01,01,14,51,20200101,145730,2020,01,01,14,57,20200101,152857,2020,01,01,15,28,20200101,172857,2020,01,01,17,28,강원도,강릉시,주문진읍,읍,128.8235,37.8987,19,단독주택,단독주택,부주의,6,270.0,2.0,29,강릉소방서,주문진119안전센터,
20204209107M00003,작동기기,안전조치,20200101,155021,2020,겨울,1,01,01,15,50,수요일,20200101,155050,2020,01,01,15,50,20200101,155448,2020,01,01,15,54,20200101,155448,2020,01,01,15,54,20200101,172020,2020,01,01,17,20,강원도,영월군,영월읍,읍,128.4647,37.1875,2,일반업무,기타 일반업무시설,전기적 요인,1,270.0,6.5,60,영월소방서,영월119안전센터,
20204211301M00002,"마찰, 전도, 복사",안전조치,20200102,131818,2020,겨울,1,01,02,13,18,목요일,20200102,131852,2020,01,02,13,18,20200102,132318,2020,01,02,13,23,20200102,134915,2020,01,02,13,49,20200102,165015,2020,01,02,16,50,강원도,삼척시,하장면,면,128.9242,37.3575,54,건설기계,덤프트럭,기계적 요인,1,270.0,2.0,51,삼척소방서,도계119안전센터,
20204210105M00160,작동기기,,20200102,155900,2020,겨울,1,01,02,15,59,목요일,20200102,160800,2020,01,02,16,08,20200102,161300,2020,01,02,16,13,20200102,161300,2020,01,02,16,13,20200102,173300,2020,01,02,17,33,강원도,원주시,봉산동,동,,,5,단독주택,단독주택,전기적 요인,3,270.0,2.0,56,원주소방서,단구119안전센터,
20204210103M00002,작동기기,,20200102,183416,2020,겨울,1,01,02,18,34,목요일,20200102,183518,2020,01,02,18,35,20200102,184540,2020,01,02,18,45,20200102,184823,2020,01,02,18,48,20200102,194819,2020,01,02,19,48,강원도,철원군,김화읍,읍,127.4547,38.2879,19,야외,기타야외,전기적 요인,0,225.0,2.0,85,철원소방서,김화119안전센터,
20204219301M00005,작동기기,인명구조,20200102,210735,2020,겨울,1,01,02,21,07,목요일,20200102,210821,2020,01,02,21,08,20200102,212924,2020,01,02,21,29,20200102,215504,2020,01,02,21,55,20200102,220039,2020,01,02,22,00,강원도,춘천시,사북면,면,127.6406,38.0322,22,단독주택,단독주택,기계적 요인,-2,360.0,2.0,81,춘천소방서,신북119안전센터,
20204201110M00006,"담뱃불, 라이터불",안전조치,20200103,000427,2020,겨울,1,01,03,00,04,금요일,20200103,000512,2020,01,03,00,05,20200103,001833,2020,01,03,00,18,20200103,003314,2020,01,03,00,33,20200103,005726,2020,01,03,00,57,강원도,춘천시,신동면,면,127.687,37.8033,14,야외,쓰레기,부주의,-4,360.0,2.0,90,춘천소방서,강촌119안전센터,
